N,avg,Max,Avg lay0,Avg lay1,Avg lay2,Percent only-childs,Filesize (MB)
15021,1.27,75,75,6.41,2.87,0.653,0.10000000000000001
80400,1.30,115,115,10.45,4.06,0.622,1
123987,1.31,183,183,8.49,4.29,0.619,2
230710,1.31,266,266,8.43,4.41,0.618,5
363212,1.32,415,415,7.43,4.41,0.614,10
578149,1.32,590,590,7.17,4.54,0.615,20
1022511,1.33,1055,1055,5.89,4.56,0.616,50
1608908,1.33,1730,1730,5.14,4.42,0.616,100
2527603,1.33,2409,2409,4.99,4.50,0.617,200
,,,,,,,


,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
